contact_id,informationtype,productservicetype,productserviceline,productservicename,location_id,dateadded
1,customerservice,Blood Screening,Blood Screening,Procleix HIV-1/HCV Assay,1,2010-07-10 17:06:15.26
4,customerservice,Blood Screening,Blood Screening,Procleix Ultrio Assay,1,2010-07-10 17:06:57.303
5,customerservice,Blood Screening,Blood Screening,Procleix Ultrio Plus Assay,1,2010-07-10 17:07:32.8
7,customerservice,Blood Screening,Blood Screening,Procleix WNV Assay,1,2010-07-10 17:09:01.747
8,customerservice,"Culture Identification ",Culture Identification - Bacterial,"AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test ",1,2010-07-10 00:00:00.0
9,customerservice,"Culture Identification ",Culture Identification - Bacterial,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,1,2010-07-10 00:00:00.0
10,customerservice,"Culture Identification ",Culture Identification - Bacterial,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,1,2010-07-10 00:00:00.0
11,customerservice,"Culture Identification ",Culture Identification - Bacterial,"AccuProbe NEISSERIA GONORRHOEAE Culture Identification Test ",1,2010-07-10 00:00:00.0
12,customerservice,"Culture Identification ",Culture Identification - Bacterial,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,1,2010-07-10 00:00:00.0
13,customerservice,"Culture Identification ",Culture Identification - Bacterial,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,1,2010-07-10 00:00:00.0
14,customerservice,"Culture Identification ",Culture Identification - Bacterial,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
15,customerservice,"Culture Identification ",Culture Identification - Bacterial,Gen-Probe Detection Raegent Kit,1,2010-07-10 00:00:00.0
16,customerservice,"Culture Identification ",Culture Identification - Fungal,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,1,2010-07-10 00:00:00.0
17,customerservice,"Culture Identification ",Culture Identification - Fungal,AccuProbe COCCIDIOIDES IMMITIS Culture Identification Test,1,2010-07-10 00:00:00.0
18,customerservice,"Culture Identification ",Culture Identification - Fungal,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,1,2010-07-10 00:00:00.0
19,customerservice,"Culture Identification ",Culture Identification - Fungal,"AccuProbe Culture Identification Reagent Kit ",1,2010-07-10 00:00:00.0
20,customerservice,"Culture Identification ",Culture Identification - Fungal,Gen-Probe Detection Reagent Kit,1,2010-07-10 00:00:00.0
21,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,1,2010-07-10 00:00:00.0
22,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,1,2010-07-10 00:00:00.0
23,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,1,2010-07-10 00:00:00.0
24,customerservice,"Culture Identification ",Culture Identification - Mycobacterial,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,1,2010-07-10 00:00:00.0
