location_id,dropdownname,locationname,contactname,addressline1,addressline2,addressline3,phone1,phone2,phone3,fax1,fax2,email,website,locationtext,locationcomments,addr_id,addressoverride,sortorder
1,Gen-Probe Incorporated,Gen-Probe Incorporated,,10210 Genetic Center Drive,"San Diego, CA 92121",,"Toll Free: 800 523-5001 <span class=""small"">Option 1</span>","<span class=""light small"">6:00 am - 5:00 pm PT</span>",,"Fax: +800 288-3141 or 800 342-7441 ",,customerservice@gen-probe.com,www.gen-probe.com,"Customer Service is available for order placement or to answer inquiries regarding the status of an established order. In addition, Customer Service can assist with contractual and/or pricing questions.  ",customer service default location,1,,
2,Gen-Probe Incorporated,Gen-Probe Incorporated,,10210 Genetic Center Drive,"San Diego, CA 92121",,"Toll Free: 888-484-4747<br/><a href=""mailto:technicalsupport@gen-probe.com"">technicalsupport@gen-probe.com</a><br/>",6:00 am - 5:00 pm Pacific Time,,Fax: + 	858 410-8250,,,www.gen-probe.com,"Technical Support is available to provide service, support, and troubleshooting for GEN-PROBE reagents, instrumentation, and software. Technical Support Representatives provide laboratory operators with an immediate telephone response and dispatching service personnel when necessary.",technical support default location,1,,
3,Gen-Probe Life Sciences Ltd.  UK,Gen-Probe Life Sciences Ltd.,,"Heron House Oaks Business Park, Crewe Road","Wythenshawe, Manchester. M23 9HZ, UK",,"+44 0 161 946 2200 ",800 731 3016,,Fax:    +44 0161 946 2211,,pharmaservices@gen-probe.com,www.gen-probe.com,"Technical Support is available to provide service, support, and troubleshooting for GEN-PROBE reagents, instrumentation, and software. Technical Support Representatives provide laboratory operators with an immediate telephone response and dispatching service personnel when necessary.",dna technical support default location,6,,
4,Gen-Probe Life Sciences Ltd,Gen-Probe Life Sciences Ltd,,"12 Blacklands Way, Abingdon Business Park","Abingdon, Oxfordshire, OX14 1DY, UK",,+44 0 1235544220,,,Fax:    +44 0123 554 4222,,elucigene@gen-probe.com,www.gen-probe.com,"Technical Support is available to provide service, support, and troubleshooting for GEN-PROBE reagents, instrumentation, and software. Technical Support Representatives provide laboratory operators with an immediate telephone response and dispatching service personnel when necessary.",genetics technical support default location,3,,
5,Gen-Probe Diaclone SAS,Gen-Probe Diaclone SAS,,"1 Bd A Fleming, BP 1985","F-25020 Besancon Cedex, France",," +33 3 81 41 38 38",,,Fax:    +33 3 81 41 36 36,,diaclone@gen-probe.com,www.gen-probe.com,"Technical Support is available to provide service, support, and troubleshooting for GEN-PROBE reagents, instrumentation, and software. Technical Support Representatives provide laboratory operators with an immediate telephone response and dispatching service personnel when necessary.",genetics technical support default location,5,,
6,US & ROW,Gen-Probe Transplant Diagnostics Inc.,,550 West Avenue,"Stamford, CT 06902, USA",,Toll Free:  888 329 0255,,,Fax: +  203 328 9599,,lifecodes@gen-probe.com,www.gen-probe.com,"Technical Support is available to provide service, support, and troubleshooting for GEN-PROBE reagents, instrumentation, and software. Technical Support Representatives provide laboratory operators with an immediate telephone response and dispatching service personnel when necessary.",genetics technical support default location,4,,
7,"Gen-Probe Prodesse, Inc","Gen-Probe Prodesse, Inc",,W229 N1870 Westwood Drive,"Waukesha, WI 53186",,+262 446-0700 or  888 589-6974,,,"Fax: + 262 446-0600 ",Fax Product Orders: (262) 522-0302,techsupport@prodesse.com,www.gen-probe.com,"Technical Support is available to provide service, support, and troubleshooting for GEN-PROBE reagents, instrumentation, and software. Technical Support Representatives provide laboratory operators with an immediate telephone response and dispatching service personnel when necessary.",genetics technical support default location,2,,
8,Gen-Probe Life Sciences Ltd.  UK,Gen-Probe Life Sciences Ltd.,,"Heron House Oaks Business Park, Crewe Road","Wythenshawe, Manchester. M23 9HZ, UK",,"+44 0 161 946 2200 ",800 731 3016,,Fax:    +44 0161 946 2211,,pharmaservices@gen-probe.com,www.gen-probe.com,"Customer Service is available for order placement or to answer inquiries regarding the status of an established order. In addition, Customer Service can assist with contractual and/or pricing questions.  ",customer service dna default location,6,,
9,Gen-Probe Life Sciences Ltd,Gen-Probe Life Sciences Ltd,,"12 Blacklands Way, Abingdon Business Park","Abingdon, Oxfordshire, OX14 1DY, UK",,+44 0 1235544220,,,Fax:    +44 0123 554 4222,,elucigene@gen-probe.com,www.gen-probe.com,"Customer Service is available for order placement or to answer inquiries regarding the status of an established order. In addition, Customer Service can assist with contractual and/or pricing questions.  ",genetics customer service default location,3,,
10,"Gen-Probe Prodesse, Inc","Gen-Probe Prodesse, Inc",,W229 N1870 Westwood Drive,"Waukesha, WI 53186",,+262 446-0700 or  888 589-6974,,,"Fax: + 262 446-0600 ",Fax Product Orders: (262) 522-0302,custsvc@prodesse.com,www.gen-probe.com,"Customer Service is available for order placement or to answer inquiries regarding the status of an established order. In addition, Customer Service can assist with contractual and/or pricing questions.  ",genetics technical support default location,2,,
