id,number
1,Fax: + 90 232 463-45-37
2,Fax: +351-21-471-69-69
3,Fax: +370 5 263 87 49
4,Fax: +420 261 109 655
5,Fax: +800 288-3141 or 800 342-7441
6,Fax: +32-2-733-5597
7,Fax: +86 755 83953968
8,Fax: +43 0 2268 6165 44
9,Fax: +39 0257603544
10,Fax: +962 6 5529 535
11,Fax: (962) 6 46 55 402
12,Fax: +81 3 5684 1775
13,Fax: +91 11 4 209 88 50
14,Fax: +82-2-3486-7697
15,Fax: +971 6 559 3573
16,Fax: +44 01235 544222
17,Fax: +90 312 496 43 18
18,Fax: +380 342525710Ö
19,Fax: +598 -2 -4874108
20,Fax: + 32 9282 0532
21,Fax: +49 6122 7076155
22,Fax: +855 23 426 515
23,Fax: +49 0 641 94 88
24,Fax: +972 39349876
25,Fax: +39 06 67 89 872
26,Fax: +44 1234 860 227
27,Fax: +82 2 578 8828
28,Fax: 0800 919 156
29,Fax: +420 224 320 133
30,Fax: +57 (1) 626 9608
31,Fax: +82245521221
32,Fax: +34 93 451 08 74
33,Fax: +81-3-5695-9234
34,Phone/Fax: +00420 244 911 228
35,Fax: + 39 0117761175
36,Fax: +  203 328 9599
37,Fax: +52 55 5523-3033
38,Fax: +30 0310 32 1912
39,Fax: +46 08 99 20 40
40,Fax: +48 22 569 85 54
41,Fax: +82 2 569 0784
42,Fax: +371-6757-8270
43,Fax: +44 161 946 2224
44,Fax: +91 1122794407
45,Fax: +45 3538 7322
46,Fax: +48 (32) 607 10 14
47,Fax: +31 205123570
48,Fax: +07022 3 61-10
49,Fax: +858-410-7921
50,Fax: +372 606 2755
51,Fax: +30 210 60 17 503
52,Fax: +00.32.2.733.55.97
53,Fax: +30 210 64 42 266
54,Fax: +972-3-9214146
55,Fax:    +33 3 81 41 36 36
56,Fax: +52 55 56162245
57,Fax: +822 2057 3656
58,Fax: +354 552 9015
59,Fax: +598 2 4874108
60,Fax: +358-3-6822 039
61,Fax: +886 2 25559695
62,Fax: +603-40245900
63,Fax: +58 212 266 5011
64,Fax: +966 3 834 6174
65,Fax: +972 03 921 4146
66,Fax: +972 3 9277278
67,Fax: +852 2541 4089
68,Fax: +00 632 812 0896
69,Fax: +34/976 320 660
70,Fax: +44 0 161 946 2211
71,Fax: +971-2-6327-147
72,Fax: +34 0976 320 660
73,Fax: +356 2149 3640
74,Fax: +51 1 422-3701
75,Fax: +91 22 2528 1012
76,Fax: +48 22 658-45-06
77,Fax: +966 1 456 74 98
78,Fax: +46 08 756 94 90
79,Fax:    +44 0161 946 2211
80,Fax: 1-800-944-4032
81,Fax +66 2 274 7340
82,Fax: + 385 1 6535 018
83,Fax: +506 2297-0606
84,Fax: +47 22 14 44 90
85,Fax: +34-91-3580840
86,Fax: + 	858 410-8250
87,Fax: +92-21 34305039
88,Fax: +90 2166514630
89,Fax: +30-10-7293855
90,Fax: +386034928741
91,Fax: +52 55 5281 4722
92,Fax: +43 1 86 50 661
93,Fax: +34 914334545
94,Fax: +44 1869 238034
95,Fax: +55 11 3377-9922
96,Fax: +39 025694518
97,Fax: +781 828 0542
98,Fax: +27 0 21 949 5478
99,Fax: +32 3 3854792
100,Fax: +44/0 121 744 0775
101,Fax: +662 361 4004
102,Fax: +31 0418 681 068
103,Fax: +56-2-3557242
104,Fax: + 90 212 533 31 98
105,Fax: +52 55 5093-2005
106,Fax: +852 2330 2085
107,Fax: +351 21 923 6389
108,Fax: +353 1 822 4100
109,Fax: +61 2 9986 2022
110,Fax: +963 112217154
111,Fax: +44 0 1506 424280
112,Fax: +44 0 121 430 7061
113,Fax: +86 21 33676155
114,Fax: +49 0 8382-9852-32
115,Fax: +52-5-5093-2005
116,Fax: +370 52796728
117,Fax: +1-613-271-1148
118,Fax: +6567791112
119,Fax: +33 05 61 69 61 01
120,Fax: +27 11 463 7030
121,Fax: +371 7795241
122,Fax: +27-11-467-7505
123,Fax: +50-7-233-5685
124,Fax: +66 2 274 7340
