Location,Facility Name,Phone,Fax
Austria,Gen-Probe Austria,0800 297222 ,0800 297235
Belgium,Gen-Probe Belgium,0800 76314,0800 78279
Czech Republic,Gen-Probe Czech Republic,800 143852,800 143853
Denmark,Gen-Probe Denmark,808 85618,808 86852
Finland,Gen-Probe Finland,+49 6122 7076 453,+49 6122 707 6155
France,Gen-Probe France,0800 919141,0800 919156
Germany,Gen-Probe Germany,0800 589 1635,0800 589 1651
Greece,Gen-Probe Greece,+49 6122 7076 467,+49 6122 707 6155
Ireland,Gen-Probe Ireland,1800 655003,1800 655071
Italy,Gen-Probe Italy,800 789949,800 789963
Luxembourg,Gen-Probe Luxembourg,8002 7708,8002 7933
Netherlands,Gen-Probe Netherlands,0800 0233878,0800 0223867
Norway,Gen-Probe Norway,+49 6122 7076 464,+49 6122 707 6155
Portugal,Gen-Probe Portugal,+49 6122 7076 466,+49 6122 707 6155
Spain,Gen-Probe Spain,+49 6122 7076 461,+49 6122 707 6155
Sweden,Gen-Probe Sweden,020 796989,020 790085
Switzerland,Gen-Probe Switzerland,0800 562187,0800 899588
UK,Gen-Probe UK,0808 234 9368,0808 101 2301
