id,number
1,+0800 11 13 33
2,+55 11 3377-9922
3,+372 606 2750
4,+03 94 999 446/0800 448 018
5,+420 739 634 395
6,+966 1 216 8222
7,+603 627 330 68/627 360 68
8,+351 21 923 6350
9,+353 1 822 4222
10,1-800-523-5001 Ext.5343
11,+91 22 2528 7626/1015
12,+359 2 983 9649 or 2 483 3984
13,+662 729 7905
14,1-800-523-5001 Ext.5344
15,1-800-523-5001 Ext.5345
16,+354 552 9080
17,+ 43 0 2268 6165 66
18,+511 461 1357
19,+27 11 804 4004
20,+45 3538 0500
21,+ 213 21 33 57 96
22,+370 5 263 87 48
23,"<span class=""light small"">6:00 am - 5:00 pm PT</span>"
24,+961 4 921 711
25,+49 0 8382-9852-0
26,+33 05 61 69 61 00
27,+48 22 569 85 00
28,(022) 40309001
29,+855 23 217 573
30,+965 24610480
31,+202 3703266
32,+0062 21 461 51 11
33,+27 11 463 8 445
34,+48 22 668-73-80
35,1-800-523-5001 Ext.5339
36,+886-2-23660864
37,+33 670 486 177
38,+51 1 441-8262
39,+49 641943900
40,+52 55 54819550
41,+90 216 5808036
42,+00.32.2.743.01.70
43,+852 2543 7442
44,800 731 3016
45,+58 212 2370780
46,+50-7-233-0902
47,+598 -2 -4863683
48,Free Czech call 800 400 227
49,+34 0976 320 638
50,+91 79 26857382 or 26857428
51,+424 739 634 395
52,+91 79 26857382
53,+44 01235 544220
54,+502 434 9747
55,+98 2122887509
56,1-800-523-5001 Ext.5310
57,(962) 6 46 55 401
58,+90 312 496 43 19-20
59,+ 385 1 6552 664
60,+45 7027 9595
61,+49-70-73-30-08-73
62,+07022 30 07 0
63,1-800-523-5001 Ext.5320
64,1-800-232-4636
65,+55 11 4338 8666
66,+ 90 212 523 34 24
67,+011 5095-2701
68,1-800-523-5001 Ext.5340
69,+39 06 67 89 872
70,+86 755 83953588
71,1-800-523-5001 Ext.5341
72,+49 6122 70760
73,+
74,+63 917 844 2418
75,+91 1122790239 or +91 1122759669
76,or 26857428
77,+39 0257600771
78,+33 04 78 87 20 00
79,+86 21 33676611
80,+800 10 301
81,+962 6 5529 530
82,1-800-523-5001 Ext.5313
83,+4610480
84,+44 0 1506 424270
85,1-800-523-5001 Ext.5319
86,+32 3 3854791
87,+32-2-743-0170
88,+44 161 946 2222
89,+44 0 121 436 1000
90,+971 2 6275772
91,+370 52786850
92,+81-3-5695-9223
93,+56 2238 1878
94,+39 010 66 71 796
95,Mobile: 00420 774 227 423
96,+886 2 2545 2250
97,+44 01622 814382
98,+52 55 5536-6788
99,+52 55 5093-2000
100,+27 12 362 2029
101,+370 5 2790080
102,+66 2 274 7339
103,+420 261 109 650
104,+371 7795240
105,+822 2057 5811~8
106,+33 3 81 41 38 38
107,+262 446-0700 or  888 589-6974
108,+30/2310 32 2525
109,+852 2356 7033
110,+49 2211260266
111,+356 9945 5980
112,+39 0226 289 253
113,+30 0310 32 2525
114,+90 2166513748
115,Free phone : 800 10595
