Sales and Distribution,LEADER Systems,LEADER HC+,Azerbaijan,1
Sales and Distribution,LIFECODES,Screen & Identification,Oman,2
Sales and Distribution,Streptococcus - GASDirect,Gen-Probe Detection Reagent Kit,Singapore,3
Sales and Distribution,Prodesse,Prodesse ProFlu+,Thailand,4
Sales and Distribution,LEADER Systems,LEADER HC+,Namibia,5
Sales and Distribution,Fungal Culture Identification,AccuProbe Culture Identification Reagent Kit,Cambodia,6
Sales and Distribution,APTIMA HCV Qualitative Kit,APTIMA HCV RNA Qualitative Assay,Iceland,7
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,Dominican Republic,8
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe Culture Identification Reagent Kit,Thailand,9
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,Malawi,10
Sales and Distribution,Bacterial Culture Identification,AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test,Switzerland,11
Sales and Distribution,Prodesse,Prodesse ProFlu-ST,India,12
Sales and Distribution,Streptococcus - Group B,AccuProbe Culture Identification Reagent Kit,Czech Republic,13
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,Greece,14
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,United States,15
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,Zimbabwe,16
Sales and Distribution,Streptococcus - GASDirect,GASDirect Test,Nigeria,17
Sales and Distribution,Prodesse,Prodesse ProParaflu+,Switzerland,18
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe Culture Identification Reagent Kit,Slovakia,19
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe Culture Identification Reagent Kit,Estonia - Siemens Medical Solutions,20
Sales and Distribution,Bacterial Culture Identification,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,Uganda,21
Sales and Distribution,Pace,Pace 2 CT PCA,China,22
Sales and Distribution,Aptima,APTIMA GC Assay,Vietnam,23
Sales and Distribution,Bacterial Culture Identification,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,Papua New Guinea,24
Sales and Distribution,Bacterial Culture Identification,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,Lithuania,25
Sales and Distribution,AMPLIFIED MTD,Gen-Probe Detection Reagent Kit,Zimbabwe,26
Sales and Distribution,Prodesse,Prodesse ProFAST+,United Kingdon,27
Sales and Distribution,Streptococcus - Group B,Gen-Probe Detection Reagent Kit,Spain,28
Sales and Distribution,APTIMA HIV-1 RNA Qualitative Assay,APTIMA HIV-1and HCV Auto Detect Reagents,Estonia - Siemens Medical Solutions,29
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,Saudi Arabia,30
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,Uganda,31
Sales and Distribution,Aptima,APTIMA CT Assay,Hong Kong,32
Sales and Distribution,Prodesse,ProGasto Cd,Malta,33
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,Honduras,34
Sales and Distribution,Prodesse,Prodesse Pro hMPV,Greece,35
Sales and Distribution,TIGRIS,TIGRIS DTS System,Rwanda,36
Sales and Distribution,Aptima,APTIMA Auto Detect Reagents,Georgia,37
Sales and Distribution,APTIMA HCV Qualitative Kit,APTIMA HCV Proficiency Panel,Saudi Arabia,38
Sales and Distribution,APTIMA HIV-1 RNA Qualitative Assay,APTIMA HIV-1 Proficiency Panel,Bulgaria,39
Sales and Distribution,Bacterial Culture Identification,Gen-Probe Detection Reagent Kit,Azerbaijan,40
Sales and Distribution,LIFECODES,Gen-Probe Fluoroanalyzer,Singapore,41
Sales and Distribution,APTIMA HIV-1 RNA Qualitative Assay,APTIMA HIV-1 RNA Qualitative Assay,Uzbekistan,42
Locations,Nucleon Automated DNA Kits,Nucleoplex Automated Plant DNA Kit,Gen-Probe Life Sciences Ltd.  UK,43
Sales and Distribution,Bacterial Culture Identification,AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test,Tunisia,44
Sales and Distribution,Pace,Pace 2 GC,Venezuela,45
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,Germany,46
Sales and Distribution,LIFECODES,Screen & Identification,Portugal,47
Sales and Distribution,Mycobacterial Culture Identification,Gen-Probe Detection Reagent Kit,Libya,48
Sales and Distribution,APTIMA HIV-1 RNA Qualitative Assay,APTIMA HIV-1and HCV Auto Detect Reagents,Zimbabwe,49
Sales and Distribution,LIFECODES,LSA Single Antigen,Hungary,50
Sales and Distribution,Aptima,APTIMA Unisex Swab Specimen Collection Kit for Endovervical and Male Urethral Swab Specimens,Nigeria,51
Sales and Distribution,Streptococcus - Group B,Gen-Probe Detection Reagent Kit,Hong Kong,52
Sales and Distribution,Mycobacterial Culture Identification,Gen-Probe Detection Reagent Kit,New Zealand,53
Sales and Distribution,LEADER Systems,LEADER 450i,Mauritius,54
Sales and Distribution,Fungal Culture Identification,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,Tuvalu,55
Sales and Distribution,Pace,Pace 2 CT,United Kingdom,56
Sales and Distribution,Fungal Culture Identification,AccuProbe Culture Identification Reagent Kit,Palau,57
Sales and Distribution,LIFECODES,LSA-MIC,Singapore,58
Sales and Distribution,Streptococcus - Group B,AccuProbe GROUP B Streptococcus Culture Identification Test,Papua New Guinea,59
Sales and Distribution,Elucigene,Elucigene Ashkenazi Screening,Turkey,60
Sales and Distribution,Elucigene,Elucigene TRP (Thrombosis) Products,Poland,61
Sales and Distribution,Bacterial Culture Identification,Gen-Probe Detection Reagent Kit,Hong Kong,62
Technical Support,Culture Identification - Fungal,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,Gen-Probe Incorporated,63
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe Culture Identification Reagent Kit,Kuwait,64
Sales and Distribution,Pace,Pace 2 GC PCA,Ecuador,65
Sales and Distribution,Bacterial Culture Identification,AccuProbe Culture Identification Reagent Kit,Andorra,66
Sales and Distribution,Mycobacterial Culture Identification,Gen-Probe Detection Reagent Kit,Russian Federation,67
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,Mozambique,68
Sales and Distribution,Bacterial Culture Identification,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,Kuwait,69
Sales and Distribution,Bacterial Culture Identification,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,Tonga,70
Sales and Distribution,Pace,Pace 2 CT,Botswana,71
Sales and Distribution,Streptococcus - GASDirect,Gen-Probe Detection Reagent Kit,Albania,72
Sales and Distribution,Fungal Culture Identification,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,Kazakhstan,73
Sales and Distribution,Fungal Culture Identification,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,Mauritius,74
Sales and Distribution,Prodesse,Prodesse Pro hMPV,Malaysia,75
Sales and Distribution,Diaclone,Diaclone mAB,Korea - NEW KOREA,76
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,Dominican Republic,77
Sales and Distribution,Bacterial Culture Identification,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,Mozambique,78
Sales and Distribution,AMPLIFIED MTD,Gen-Probe Detection Reagent Kit,Malta,79
Sales and Distribution,Fungal Culture Identification,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,Argentina,80
Sales and Distribution,Streptococcus - Group B,AccuProbe Culture Identification Reagent Kit,United Kingdom,81
Sales and Distribution,Bacterial Culture Identification,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,San Marino,82
Sales and Distribution,AMPLIFIED MTD,AMPLIFIED MTD (Mycobacterium Tuberculosis Direct) Test,Madagascar,83
Sales and Distribution,Streptococcus - Group B,Gen-Probe Detection Reagent Kit,Namibia,84
Sales and Distribution,LIFECODES,LSA-MIC,Peru,85
Sales and Distribution,Bacterial Culture Identification,AccuProbe Culture Identification Reagent Kit,France,86
Sales and Distribution,Diaclone,Diaclone Diaplex,Korea - NEW KOREA,87
Sales and Distribution,Mycobacterial Culture Identification,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,Kiribati,88
Sales and Distribution,Aptima,APTIMA Unisex Swab Specimen Collection Kit for Endovervical and Male Urethral Swab Specimens,Serbia,89
