Customer Service,Blood Screening,Procleix WNV Assay,Gen-Probe Incorporated,5849
Customer Service,Blood Screening,Procleix Ultrio Plus Assay,Gen-Probe Incorporated,4089
Customer Service,Blood Screening,Procleix HIV-1/HCV Assay,Gen-Probe Incorporated,5223
Customer Service,Blood Screening,Procleix Ultrio Assay,Gen-Probe Incorporated,6371
Customer Service,Culture Identification,AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test,Gen-Probe Incorporated,915
Customer Service,Culture Identification,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,Gen-Probe Incorporated,5143
Customer Service,Culture Identification,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,Gen-Probe Incorporated,86
Customer Service,Culture Identification,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,Gen-Probe Incorporated,5272
Customer Service,Culture Identification,AccuProbe Culture Identification Reagent Kit,Gen-Probe Incorporated,1440
Customer Service,Culture Identification,Gen-Probe Detection Reagent Kit,Gen-Probe Incorporated,4136
Customer Service,Culture Identification,AccuProbe NEISSERIA GONORRHOEAE Culture Identification Test,Gen-Probe Incorporated,3165
Customer Service,Culture Identification,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,Gen-Probe Incorporated,5943
Customer Service,Culture Identification,AccuProbe COCCIDIOIDES IMMITIS Culture Identification Test,Gen-Probe Incorporated,1631
Customer Service,Culture Identification,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,Gen-Probe Incorporated,819
Customer Service,Culture Identification,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,Gen-Probe Incorporated,6733
Customer Service,Culture Identification,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,Gen-Probe Incorporated,1777
Customer Service,Culture Identification,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,Gen-Probe Incorporated,3154
Customer Service,Culture Identification,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,Gen-Probe Incorporated,2071
Customer Service,Culture Identification,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,Gen-Probe Incorporated,863
Customer Service,Culture Identification,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,Gen-Probe Incorporated,61
Customer Service,Culture Identification,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,Gen-Probe Incorporated,4283
Customer Service,Culture Identification,Gen-Probe Detection Raegent Kit,Gen-Probe Incorporated,4579
Customer Service,DNA Extraction Products,Hard Tissues & Paraffin Sections,Gen-Probe Life Sciences Ltd.  UK,5024
Customer Service,DNA Extraction Products,Nucleoplex BAC DNA Kit,Gen-Probe Life Sciences Ltd.  UK,5455
Customer Service,DNA Extraction Products,Large & Small PhytoPure,Gen-Probe Life Sciences Ltd.  UK,796
Customer Service,DNA Extraction Products,Nucleoplex Automated Plant DNA Kit,Gen-Probe Life Sciences Ltd.  UK,4246
Customer Service,DNA Extraction Products,Non-Chloroform Blood Kit,Gen-Probe Life Sciences Ltd.  UK,194
Customer Service,DNA Extraction Products,BACC 1/ BACC 2/ BACC 3,Gen-Probe Life Sciences Ltd.  UK,451
Customer Service,DNA Extraction Products,Non-Chloroform Mousetail Kit - Large/Small,Gen-Probe Life Sciences Ltd.  UK,1540
Customer Service,DNA Extraction Products,Nucleoplex Plasmid DNA Kit,Gen-Probe Life Sciences Ltd.  UK,4181
Customer Service,Genetic Disease Testing,Elucigene KRAS.BRAF,Gen-Probe Wiesbaden,297
Customer Service,Genetic Disease Testing,Elucigene AAT (Alpha-1-Antitrypsin) Products,Gen-Probe Wiesbaden,5094
Customer Service,Genetic Disease Testing,Elucigene QST*R Products,Gen-Probe Wiesbaden,4440
Customer Service,Genetic Disease Testing,Elucigene Ashkenazi Screening,Gen-Probe Wiesbaden,6822
Customer Service,Genetic Disease Testing,Elucigene FH20 (Familial Hypercholesterolaemia),Gen-Probe Wiesbaden,140
Customer Service,Genetic Disease Testing,Elucigene TRP (Thrombosis) Products,Gen-Probe Wiesbaden,155
Customer Service,Genetic Disease Testing,Elucigene CF (Cystic Fibrosis) Products,Gen-Probe Wiesbaden,3061
Customer Service,Immunology Products,Diaclone Monoclonal Antibodies,UK Sales & Orders,1967
Customer Service,Immunology Products,Diaclone Monoclonal Antibodies,Gen-Probe Diaclone SAS,3343
Customer Service,Immunology Products,Diaclone ELISA,UK Sales & Orders,406
Customer Service,Immunology Products,Diaclone ELISA,Gen-Probe Diaclone SAS,3923
Customer Service,Instrument Systems,LEADER 450i,Gen-Probe Incorporated,5052
Customer Service,Instrument Systems,LEADER 50i,Gen-Probe Incorporated,2378
Customer Service,Instrument Systems,LEADER HC+,Gen-Probe Incorporated,1301
Customer Service,Instrument Systems,DTS 800 System,Gen-Probe Incorporated,2807
Customer Service,Instrument Systems,TIGRIS DTS System,Gen-Probe Incorporated,210
Customer Service,Instrument Systems,DTS 400 System,Gen-Probe Incorporated,3524
Customer Service,Microbial Infectious Diseases,AccuProbe MYCOBACTERIUM INTRACELLULARE Culture Identification Test,Gen-Probe Incorporated,1079
Customer Service,Microbial Infectious Diseases,AccuProbe MYCOBACTERIUM GORDONAE Culture Identification Test,Gen-Probe Incorporated,632
Customer Service,Microbial Infectious Diseases,AccuProbe HAEMOPHILUS INFLUENZAE Culture Identification Test,Gen-Probe Incorporated,537
Customer Service,Microbial Infectious Diseases,AccuProbe MYCOBACTERIUM AVIUM Culture Identification Test,Gen-Probe Incorporated,2488
Customer Service,Microbial Infectious Diseases,AccuProbe STREPTOCOCCUS PNEUMONIAE Culture Identification Test,Gen-Probe Incorporated,928
Customer Service,Microbial Infectious Diseases,AccuProbe LISTERIA MONOCYTOGENES Culture Identification Test,Gen-Probe Incorporated,3532
Customer Service,Microbial Infectious Diseases,AccuProbe NEISSERIA GONORRHOEAE Culture Identification Test,Gen-Probe Incorporated,1407
Customer Service,Microbial Infectious Diseases,ProGastro Cd,Gen-Probe Incorporated,5712
Customer Service,Microbial Infectious Diseases,AccuProbe STAPHYLOCOCCUS AUREUS Culture Identification Test,Gen-Probe Incorporated,2561
Customer Service,Microbial Infectious Diseases,AccuProbe COCCIDIOIDES IMMITIS Culture Identification Test,Gen-Probe Incorporated,158
Customer Service,Microbial Infectious Diseases,AccuProbe HISTOPLASMA CAPSULATUM Culture Identification Test,Gen-Probe Incorporated,335
Customer Service,Microbial Infectious Diseases,AccuProbe Culture Identification Reagent Kit,Gen-Probe Incorporated,1361
Customer Service,Microbial Infectious Diseases,AMPLIFIED MTD (Mycobacterium Tuberculosis Direct) Test,Gen-Probe Incorporated,340
Customer Service,Microbial Infectious Diseases,AccuProbe BLASTOMYCES DERMATITIDIS Culture Identification Test,Gen-Probe Incorporated,4479
Customer Service,Microbial Infectious Diseases,AccuProbe GROUP B STREPTOCOCCUS Culture Identification Test,Gen-Probe Incorporated,1152
Customer Service,Microbial Infectious Diseases,GASDirect Test,Gen-Probe Incorporated,2609
Customer Service,Microbial Infectious Diseases,AccuProbe MYCOBACTERIUM KANSASII Culture Identification Test,Gen-Probe Incorporated,423
Customer Service,Microbial Infectious Diseases,Gen-Probe Detection Reagent Kit,Gen-Probe Incorporated,3868
Customer Service,Microbial Infectious Diseases,AccuProbe MYCOBACTERIUM TUBERCULOSIS Complex Culture Identification Test,Gen-Probe Incorporated,3360
Customer Service,Microbial Infectious Diseases,AccuProbe MYCOBACTERIUM AVIUM Complex Culture Identification Test,Gen-Probe Incorporated,1920
Customer Service,Pharmaceutical Services,cGMP Drug Development,United Kingdom - Pharmaceutical Livingston,5031
Customer Service,Pharmaceutical Services,Life Science Research,United Kingdom - Nucleic Acid Purification,4272
Customer Service,Pharmaceutical Services,cGCP Clinical Development,United Kingdom - Pharmaceutical Livingston,3777
Customer Service,Pharmaceutical Services,Discovery & cGLP Pre-Clinical,United Kingdom - Pharmaceutical Livingston,2593
Customer Service,Respiratory Infectious Diseases,Prodesse ProPneumo-1,Gen-Probe Incorporated,3318
Customer Service,Respiratory Infectious Diseases,Prodesse ProParaflu+,Gen-Probe Incorporated,5885
Customer Service,Respiratory Infectious Diseases,Prodesse Pro hMPV+,Gen-Probe Incorporated,6402
Customer Service,Respiratory Infectious Diseases,Prodesse ProFlu-ST,Gen-Probe Incorporated,5399
