id,name
1,AMPLIFIED MTD
2,APTIMA
3,APTIMA HCV Qualitative Kit
4,APTIMA HIV-1 RNA Qualitative Assay
5,Aptima
6,Aptima HPV
7,Bacterial Culture Identification
8,Blood Screening
9,Culture Identification - Bacterial
10,Culture Identification - Fungal
11,Culture Identification - Mycobacterial
12,DTS
13,DTS Systems
14,Diaclone
15,Elucigene
16,Fungal Culture Identification
17,GASDirect
18,LEADER
19,LEADER Systems
20,LIFECODES
21,Mycobacterial Culture Identification
22,Nucleon
23,Nucleon Automated DNA Kits
24,Nucleon Blood & Cell Culture
25,Nucleon Hard & Soft Tissue
26,Nucleon Plant Tissue
27,PACE
28,Pace
29,Prodesse
30,Streptococcus - GASDirect
31,Streptococcus - Group B
32,TIGRIS
33,Tepnel Pharma Services
